companies_mentioned,month,sector,sentiment_score,year
"MAA, Residential",11,,0.9301,22
"Prologis, Inc., Industrial,Equinix, Inc., Data Center",11,,0.9792,22
"Regency Centers Corporation, Retail",11,,0.9564,22
"Prologis, Inc., Industrial",10,,0.9477,22
"Digital Realty, Data Center,Prologis, Inc., Industrial,Lineage Logistics, Industrial,Federal Realty Investment Trust, Retail",11,,0.9848,22
"Whitestone REIT, Retail",11,,0.9861,22
"INDUS RealtyTrust, Inc., Industrial",11,,0.9896,22
"Phillips Edison & Co., Retail",11,,0.9771,22
"Apple Hospitality REIT, Inc., Lodging/Resorts",11,,0.9885,22
"Sila Realty Trust, Inc., Health Care",12,,0.9152,22
,12,,0.9106,22
"SITE Centers Corp., Retail",11,Retail,0.9631,22
"Broadstone Net Lease, Inc., Diversified",11,,0.9551,22
"CBL Properties, Retail",11,,0.872,22
"Modiv Industrial, Inc., Diversified",12,Diversified,0.9882,22
"Agree Realty Corporation, Retail",12,,0.9606,22
"Extra Space Storage, Inc., Self-storage",12,Self-Storage,0.9608,22
"STAG Industrial, Inc., Industrial",12,Industrial,0.9371,22
"Summit Hotel Properties, Inc., Lodging/Resorts",12,,0.9589,22
"NNN REIT, Inc., Retail",12,Retail,0.7178,22
"Postal Realty Trust, Inc., Specialty",12,,-0.0617,22
"Omega Healthcare Investors, Inc., Health Care",12,Health Care,0.8381,22
"Ashford Hospitality Trust, Lodging/Resorts",12,Lodging/Resorts,0.9114,22
,12,,0.9557,22
"Piedmont Office Realty Trust, Inc., Office",12,Office,0.9794,22
"Essex Property Trust, Inc., Residential",12,Residential,0.9538,22
"Camden Property Trust, Residential",12,Residential,0.9646,22
"Alexandria Real Estate Equities, Inc., Office,American Strategic Investment Co., Office,Brandywine Realty Trust, Office,BXP, Office,Columbia Property Trust Inc., Office,Corporate Office Properties Trust, Office,Cousins Properties, Office,Creative Media & Community Trust, Office,Easterly Government Properties, Office,Empire State Realty Trust, Office,Equity Commonwealth, Office,Four Springs Capital Trust, Office,Franklin Street Properties Corp, Office,Peakstone Realty Trust, Office,Highwoods Properties, Inc., Office,Hudson Pacific Properties, Inc., Office,IQHQ, Office,KBS Growth & Income REIT, Inc., Office,KBS Real Estate Investment Trust III, Office,Kilroy Realty Corporation, Office,Office Properties Income Trust, Office,Orion Office REIT Inc., Office,Paramount Group, Inc., Office,Piedmont Office Realty Trust, Inc., Office,SL Green Realty Corp., Office",01,Office,0.8432,23
"Physicians Realty Trust, Health Care",12,Health Care,0.9831,22
"CareTrust REIT, Inc., Health Care",12,Health Care,0.9085,22
"Braemar Hotels & Resorts, Inc., Lodging/Resorts",12,Lodging/Resorts,0.1053,22
,01,,-0.8771,23
"Essential Properties Realty Trust, Inc., Retail",01,Retail,0.9666,23
"Tanger Outlets, Retail",12,Retail,0.9287,22
"BXP, Office",01,Office,0.9484,23
"Regency Centers Corporation, Retail",01,Retail,0.9864,23
,01,,0.952,23
"Plymouth Industrial REIT, Inc., Industrial",01,Industrial,0.8505,23
"UMH Properties, Inc., Residential",12,Residential,0.9617,22
,03,"Industrial,Residential",0.9917,23
"Strawberry Fields REIT, Health Care",01,Health Care,0.4939,23
"Kite Realty Group Trust, Retail",12,Retail,0.7003,22
"Essex Property Trust, Inc., Residential",03,Residential,0.8834,23
"JBG SMITH, Diversified",01,Diversified,0.9992,23
,03,Retail,0.9997,23
,01,,0.9673,23
"BXP, Office",03,,0.9991,23
,03,Residential,0.9892,23
,03,,0.9997,23
"Four Corners Property Trust, Retail",01,Diversified,0.9992,23
"Iron Mountain, Specialty",01,Specialty,0.9966,23
"Rayonier Inc., Timberlands",01,Timberlands,0.9755,23
,01,,0.989,23
"Ventas, Inc., Health Care,Digital Realty, Data Center,Vornado Realty Trust, Diversified,Park Hotels & Resorts, Lodging/Resorts,Prologis, Inc., Industrial,BXP, Office,Hudson Pacific Properties, Inc., Office,AvalonBay Communities, Inc., Residential,Kimco Realty Corporation, Retail,Simon Property Group, Inc., Retail,Extra Space Storage, Inc., Self-storage",01,,0.9999,23
"Ventas, Inc., Health Care,Camden Property Trust, Residential,Spirit Realty Capital, Retail",01,,0.9987,23
,01,,0.9951,23
,01,,0.9162,23
"Farmland Partners Inc., Specialty",03,,0.9905,23
"Host Hotels & Resorts, Inc., Lodging/Resorts",01,Lodging/Resorts,0.9997,23
"Regency Centers Corporation, Retail",03,Retail,0.991,23
"Prologis, Inc., Industrial",03,Industrial,0.996,23
"Administradora De Activos Fibra Inn SC, Lodging/Resorts",03,Lodging/Resorts,0.9987,23
"Prologis, Inc., Industrial",01,,0.8648,23
,02,,0.992,23
,02,,0.9887,23
"Federal Realty Investment Trust, Retail",02,Retail,0.9979,23
"Armada Hoffler Properties, Inc., Diversified",02,Office,0.882,23
,02,,0.969,23
,02,,0.9612,23
,02,,0.9295,23
,02,,0.8593,23
"CubeSmart, Self-storage",01,Self-Storage,0.9998,23
"W. P. Carey Inc., Diversified",01,Diversified,0.9906,23
,03,,-0.3612,23
,04,,0.9536,23
"Alexander & Baldwin, Inc., Diversified,Cousins Properties, Office,Digital Realty, Data Center,Empire State Realty Trust, Office,Four Corners Property Trust, Retail,Host Hotels & Resorts, Inc., Lodging/Resorts,Piedmont Office Realty Trust, Inc., Office,Realty Income Corporation, Diversified,Rayonier Inc., Timberlands,Ventas, Inc., Health Care,Welltower Inc., Health Care",01,,0.9853,23
,04,,0.9194,23
"JLL Income Property Trust, Inc., Diversified",04,Office,0.1779,23
"ACRES Commercial Realty Corp., Mortgage,AGNC Investment Corp., Mortgage,Angel Oak Mortgage, Inc., Mortgage,Apollo Commercial RE Finance, Inc., Mortgage,Arbor Realty Trust, Inc., Mortgage,ARMOUR Residential REIT, Mortgage,Blackstone Mortgage Trust, Inc., Mortgage,BrightSpire Capital, Inc., Mortgage,Claros Mortgage Trust, Inc., Mortgage,Dynex Capital, Inc., Mortgage,Franklin BSP Realty Trust Inc., Mortgage,Great Ajax Corp, Mortgage,KKR Real Estate Finance Trust Inc., Mortgage,Ladder Capital Corp, Mortgage,MFA Financial, Inc., Mortgage,NexPoint Real Estate Finance, Mortgage,Sachem Capital Corp., Mortgage,Seven Hills Realty Trust, Mortgage,Starwood Real Estate Income Trust, Diversified,TPG RE Finance Trust, Inc., Mortgage,Western Asset Mortgage Capital Corporation, Mortgage",02,,0.9876,23
,04,,0.6597,23
"Farmland Partners Inc., Specialty,Healthpeak Properties, Inc., Health Care,Hudson Pacific Properties, Inc., Office,Invitation Homes, Residential,Kilroy Realty Corporation, Office,MAA, Residential,RPT Realty, Retail,STAG Industrial, Inc., Industrial,Simon Property Group, Inc., Retail",03,,0.9921,23
"Hudson Pacific Properties, Inc., Office",02,,0.9741,23
"Veris Residential, Inc., Residential",03,,0.9978,23
,04,,0.9577,23
"RPT Realty, Retail",04,,0.9997,23
"SBA Communications Corporation, Infrastructure",04,Infrastructure,-0.1406,23
,04,,0.34,23
,04,,-0.7295,23
,04,,0.0,23
"Veris Residential, Inc., Residential",04,Residential,0.6139,23
,04,,0.998,23
"InvenTrust Properties Corp., Retail",04,,0.9241,23
"Apple Hospitality REIT, Inc., Lodging/Resorts,Ashford Hospitality Trust, Lodging/Resorts,Braemar Hotels & Resorts, Inc., Lodging/Resorts,Chatham Lodging Trust, Lodging/Resorts,DiamondRock Hospitality Company, Lodging/Resorts,Hersha Hospitality Trust, Lodging/Resorts,Host Hotels & Resorts, Inc., Lodging/Resorts,MCR Hospitality Fund REIT LLC, Lodging/Resorts,Park Hotels & Resorts, Lodging/Resorts,Pebblebrook Hotel Trust, Lodging/Resorts,RLJ Lodging Trust, Lodging/Resorts,Ryman Hospitality Properties, Inc., Lodging/Resorts,Service Properties Trust, Lodging/Resorts,Sotherly Hotels Inc., Lodging/Resorts,Summit Hotel Properties, Inc., Lodging/Resorts,Sunstone Hotel Investors, Inc., Lodging/Resorts,Xenia Hotels & Resorts, Inc., Lodging/Resorts",04,Lodging/Resorts,0.7968,23
,04,"Industrial,Residential,Self-Storage",0.7628,23
,04,,0.5362,23
,04,,0.9601,23
"Regency Centers Corporation, Retail",04,,0.8807,23
,04,,0.891,23
,04,,0.2607,23
"Equity Residential, Residential",04,Residential,0.9079,23
,04,,0.999,23
,04,,0.9704,23
,04,,0.7506,23
"Essex Property Trust, Inc., Residential",04,Residential,0.8979,23
,04,,0.34,23
,04,,0.7717,23
,04,,0.979,23
"Public Storage, Self-storage",04,Self-Storage,0.8324,23
"Kilroy Realty Corporation, Office",04,Office,0.9956,23
,04,,0.7543,23
,04,,0.996,23
,05,,0.9691,23
"W. P. Carey Inc., Diversified",05,"Diversified,Industrial",0.9997,23
"Americold Realty Trust, Industrial,EastGroup Properties, Inc., Industrial,First Industrial Realty Trust, Inc., Industrial,GTJ REIT, Inc., Industrial,INDUS RealtyTrust, Inc., Industrial,Lineage Logistics, Industrial,LXP Industrial Trust, Industrial,Plymouth Industrial REIT, Inc., Industrial,Prologis, Inc., Industrial,Rexford Industrial Realty, Inc., Industrial,Royal Oak Realty Trust, Industrial,STAG Industrial, Inc., Industrial,Terreno Realty Corporation, Industrial,Watson Land Company, Industrial",05,Industrial,0.9501,23
"Aimco, Residential",04,,0.9879,23
,05,,0.9647,23
,02,,0.9991,23
,02,,0.9661,23
,02,,0.8555,23
,02,,0.9994,23
"Macerich, Retail",04,Retail,0.9999,23
"Ready Capital Corporation, Mortgage",04,,0.9991,23
"Iron Mountain, Specialty",04,Specialty,0.9995,23
,02,,0.9883,23
,02,,0.9403,23
,02,,0.9999,23
"CBL Properties, Retail,Centerspace, Residential,The Community Development Trust, Residential,Digital Realty, Data Center,Healthpeak Properties, Inc., Health Care,NETSTREIT, Retail",04,,0.9274,23
"Veris Residential, Inc., Residential,Crown Castle Inc., Infrastructure,UDR, Inc., Residential,Spirit Realty Capital, Retail",04,,0.9989,23
"Armada Hoffler Properties, Inc., Diversified",05,Diversified,0.9986,23
,03,,0.998,23
"Ladder Capital Corp, Mortgage",02,,0.9981,23
"Sun Communities, Inc., Residential",02,,0.9986,23
"Ryman Hospitality Properties, Inc., Lodging/Resorts",02,Lodging/Resorts,0.9998,23
"Hudson Pacific Properties, Inc., Office,Macerich, Retail",03,"Office,Retail",0.9996,23
"Alexander & Baldwin, Inc., Diversified,Farmland Partners Inc., Specialty,Invitation Homes, Residential,Kilroy Realty Corporation, Office,SBA Communications Corporation, Infrastructure,UMH Properties, Inc., Residential,Veris Residential, Inc., Residential",03,,0.9921,23
"The Howard Hughes Corporation, Diversified",03,Diversified,0.9996,23
,03,,0.9098,23
,03,,0.9109,23
"Dynex Capital, Inc., Mortgage",03,,0.8222,23
"Modiv Industrial, Inc., Diversified",06,Diversified,0.3,23
"Acadia Realty Trust, Retail,Agree Realty Corporation, Retail,Alpine Income Property Trust, Retail,Brixmor Property Group Inc., Retail,CBL Properties, Retail,CTO Realty Growth, Inc., Retail,Essential Properties Realty Trust, Inc., Retail,Federal Realty Investment Trust, Retail,Four Corners Property Trust, Retail,Getty Realty Corp., Retail,Inland Real Estate Income Trust, Inc., Retail,InvenTrust Properties Corp., Retail,Kimco Realty Corporation, Retail,Kite Realty Group Trust, Retail,Macerich, Retail,NNN REIT, Inc., Retail,NETSTREIT, Retail,Phillips Edison & Co., Retail,PREIT, Retail,Regency Centers Corporation, Retail,RPT Realty, Retail,Saul Centers, Inc., Retail,ShopOne Centers REIT, Inc., Retail,Simon Property Group, Inc., Retail,SITE Centers Corp., Retail,Spirit Realty Capital, Retail,STORE Capital Corporation, Retail,Strategic Realty Trust Inc., Retail,Tanger Outlets, Retail,The Necessity Retail REIT, Inc., Retail,Urban Edge Properties, Retail,Urstadt Biddle Properties, Inc., Retail,Whitestone REIT, Retail",03,Retail,0.9486,23
"Sabra Health Care REIT, Inc., Health Care",06,Health Care,0.969,23
"Postal Realty Trust, Inc., Specialty",06,Specialty,0.9432,23
"Realty Income Corporation, Diversified",03,,0.9893,23
,06,,0.9493,23
"Ready Capital Corporation, Mortgage",06,,0.9612,23
"Apartment Income REIT Corp., Residential",06,Residential,0.4215,23
"Physicians Realty Trust, Health Care",06,Health Care,0.9853,23
"Centerspace, Residential",06,Residential,0.4019,23
"CBL Properties, Retail",06,Retail,0.999,23
,06,,0.9925,23
,06,,0.6474,23
"Broadstone Net Lease, Inc., Diversified",06,,-0.0258,23
,06,,0.9468,23
"BXP, Office",06,Office,0.2732,23
"Summit Hotel Properties, Inc., Lodging/Resorts",06,Lodging/Resorts,0.97,23
"CareTrust REIT, Inc., Health Care",06,,0.0,23
,06,Office,0.5267,23
"Macerich, Retail,Invitation Homes, Residential,STORE Capital Corporation, Retail",06,,0.9997,23
"Agree Realty Corporation, Retail",06,Retail,0.9136,23
"BSR Real Estate Investment Trust, Residential",06,Residential,0.5719,23
"Healthcare Realty Trust, Health Care",06,Health Care,0.7964,23
"STAG Industrial, Inc., Industrial",06,Industrial,0.5794,23
"CBL Properties, Retail,Digital Realty, Data Center,Elme Communities, Residential,Invitation Homes, Residential,Phillips Edison & Co., Retail,Realty Income Corporation, Diversified,RLJ Lodging Trust, Lodging/Resorts,Ryman Hospitality Properties, Inc., Lodging/Resorts,Service Properties Trust, Lodging/Resorts",07,,0.9808,23
"Global Net Lease, Diversified",07,Retail,0.659,23
"CTO Realty Growth, Inc., Retail",07,Retail,0.9999,23
"PotlatchDeltic Corp., Timberlands",06,Timberlands,0.9211,23
"Cyxtera Technologies, Data Center,Digital Realty, Data Center,Equinix, Inc., Data Center",07,Data Center,0.9741,23
,07,,0.4939,23
"Tanger Outlets, Retail",07,Retail,0.9019,23
"UMH Properties, Inc., Residential",06,Residential,0.7695,23
"Orion Office REIT Inc., Office",07,Office,0.4005,23
"Brixmor Property Group Inc., Retail",06,Retail,-0.0516,23
"NNN REIT, Inc., Retail",06,Retail,0.9428,23
"NETSTREIT, Retail",07,Retail,0.9783,23
"Realty Income Corporation, Diversified",07,Diversified,0.9337,23
,05,,0.9401,23
"Apple Hospitality REIT, Inc., Lodging/Resorts",07,Lodging/Resorts,0.6486,23
,07,,0.9468,23
,05,,0.9974,23
,05,,0.9546,23
,05,,0.9616,23
"Alexander & Baldwin, Inc., Diversified",06,,0.9755,23
"Digital Realty, Data Center,Equinix, Inc., Data Center",06,,0.9988,23
"Aimco, Residential,AMH, Residential,Apartment Income REIT Corp., Residential,AvalonBay Communities, Inc., Residential,BSR Real Estate Investment Trust, Residential,Camden Property Trust, Residential,Centerspace, Residential,Clipper Realty Inc., Residential,Cottonwood Communities, Inc., Residential,Elme Communities, Residential,Equity LifeStyle Properties, Inc., Residential,Equity Residential, Residential,Essex Property Trust, Inc., Residential,GCP REIT IV, Residential,Independence Realty Trust, Residential,Invitation Homes, Residential,MAA, Residential,NexPoint Residential Trust Inc., Residential,Sun Communities, Inc., Residential,The Community Development Trust, Residential,UDR, Inc., Residential,UMH Properties, Inc., Residential,Veris Residential, Inc., Residential,Vinebrook Homes Trust, Inc., Residential",06,Residential,0.6504,23
,06,,0.4588,23
"Kimco Realty Corporation, Retail",06,Retail,0.9713,23
,06,,0.9697,23
"National Storage Affiliates, Self-storage",06,,0.8271,23
,06,,0.8402,23
"Brandywine Realty Trust, Office",05,,0.9965,23
"Armada Hoffler Properties, Inc., Diversified",06,Residential,0.5256,23
"Extra Space Storage, Inc., Self-storage,Life Storage, Inc., Self-storage,Highwoods Properties, Inc., Office,Crown Castle Inc., Infrastructure",05,,0.9992,23
"Summit Hotel Properties, Inc., Lodging/Resorts",05,Lodging/Resorts,0.9972,23
"TPG RE Finance Trust, Inc., Mortgage",07,,0.7184,23
"Alexander & Baldwin, Inc., Diversified,AvalonBay Communities, Inc., Residential,CBL Properties, Retail,MAA, Residential,Starwood Real Estate Income Trust, Diversified,Equity Commonwealth, Office,Equity LifeStyle Properties, Inc., Residential,Equity Residential, Residential",05,,0.872,23
"Apartment Income REIT Corp., Residential,Summit Hotel Properties, Inc., Lodging/Resorts,BXP, Office",07,"Lodging/Resorts,Residential,Office",0.9996,23
"Whitestone REIT, Retail",07,Retail,0.3818,23
"Regency Centers Corporation, Retail",06,,0.9386,23
,07,Infrastructure,0.8316,23
"Sila Realty Trust, Inc., Health Care",07,Health Care,0.9783,23
"Seven Hills Realty Trust, Mortgage",07,,0.7579,23
,07,,0.7936,23
"Kimco Realty Corporation, Retail",07,Retail,0.908,23
"AvalonBay Communities, Inc., Residential",07,Residential,0.9366,23
"Kite Realty Group Trust, Retail",07,Retail,0.7845,23
,07,Gaming,0.9856,23
"Equinix, Inc., Data Center,Host Hotels & Resorts, Inc., Lodging/Resorts,Kimco Realty Corporation, Retail,Healthpeak Properties, Inc., Health Care,AvalonBay Communities, Inc., Residential,Prologis, Inc., Industrial,Simon Property Group, Inc., Retail",06,,0.7351,23
,07,,0.9752,23
,07,,0.1202,23
"Brandywine Realty Trust, Office",07,Office,0.9865,23
"Essex Property Trust, Inc., Residential",06,Residential,0.4019,23
"Four Corners Property Trust, Retail",07,Retail,0.9962,23
,07,,0.9545,23
"Vornado Realty Trust, Diversified",07,,0.6808,23
"STORE Capital Corporation, Retail",07,Retail,0.9011,23
"Regency Centers Corporation, Retail,Urstadt Biddle Properties, Inc., Retail",07,Retail,0.9996,23
,07,,0.9584,23
"The Community Development Trust, Residential",06,Residential,0.8858,23
"Hudson Pacific Properties, Inc., Office",07,Office,-0.2263,23
"Kimco Realty Corporation, Retail",07,,0.9246,23
"Physicians Realty Trust, Health Care",07,Health Care,0.9997,23
,07,,0.8885,23
,07,,0.9996,23
"Service Properties Trust, Lodging/Resorts,Diversified Healthcare Trust, Health Care,Office Properties Income Trust, Office,Industrial Logistics Properties Trust, Industrial,Seven Hills Realty Trust, Mortgage,Tremont Mortgage Trust, Mortgage",07,,0.9485,23
"Physicians Realty Trust, Health Care",07,,0.9061,23
,07,,0.9915,23
"Macerich, Retail",07,,0.9382,23
"Realty Income Corporation, Diversified",07,,0.8858,23
,07,,-0.3919,23
,07,,0.9865,23
"Extra Space Storage, Inc., Self-storage",08,Self-Storage,0.9997,23
,08,Lodging/Resorts,0.9996,23
"Alexander & Baldwin, Inc., Diversified,Crown Castle Inc., Infrastructure,Empire State Realty Trust, Office,Medalist Diversified REIT, Inc., Diversified,FIBRA Prologis, Industrial,LTC Properties, Inc., Health Care,Plymouth Industrial REIT, Inc., Industrial,Public Storage, Self-storage,Tanger Outlets, Retail",08,,0.9758,23
,07,,0.9325,23
,08,Gaming,0.9118,23
,08,,0.8503,23
,10,,0.9403,21
,10,,0.9303,21
,04,,0.7564,22
,04,,-0.6858,22
,03,,0.8849,21
,11,,0.9442,20
,08,Health Care,0.982,20
"Prologis, Inc., Industrial",01,,0.8402,22
,06,,0.9698,20
"National Storage Affiliates, Self-storage",06,,0.9737,21
"Alexander & Baldwin, Inc., Diversified",06,,0.9741,21
"Digital Realty, Data Center,Vornado Realty Trust, Diversified,Ventas, Inc., Health Care,Healthpeak Properties, Inc., Health Care,Prologis, Inc., Industrial,Kilroy Realty Corporation, Office,AvalonBay Communities, Inc., Residential,Unibail-Rodamco-Westfield, Retail,Extra Space Storage, Inc., Self-storage",01,,0.9992,21
"AMH, Residential",05,,0.8807,20
,02,,0.5434,20
"Realty Income Corporation, Diversified",11,,0.9246,20
,02,,0.9682,20
,03,,0.9867,20
"Physicians Realty Trust, Health Care",11,,0.9403,20
"Alexander & Baldwin, Inc., Diversified",06,,0.9795,20
,12,,0.9538,19
"Essex Property Trust, Inc., Residential",06,,0.9646,20
"Alpine Income Property Trust, Retail",06,,0.9661,20
,12,,0.9629,19
,12,,0.9831,19
"Highwoods Properties, Inc., Office",05,,0.8916,20
,12,,0.8316,19
"AvalonBay Communities, Inc., Residential",02,,0.9209,20
"Corporate Office Properties Trust, Office",01,,0.872,20
"Acadia Realty Trust, Retail",01,,0.8442,20
"Pebblebrook Hotel Trust, Lodging/Resorts",12,,0.9099,19
"The Howard Hughes Corporation, Diversified",12,,0.9113,19
"Plymouth Industrial REIT, Inc., Industrial",12,,0.886,19
,12,,0.9403,19
"Braemar Hotels & Resorts, Inc., Lodging/Resorts",12,,0.9643,19
,01,,0.9703,20
,01,,0.9923,20
"PREIT, Retail",12,,0.8689,19
"Alexander & Baldwin, Inc., Diversified",12,,0.8656,19
,01,,0.8441,20
,01,,0.8869,20
"Elme Communities, Residential",12,,0.9311,19
"UMH Properties, Inc., Residential",12,,0.4927,19
,01,,0.9153,20
"Piedmont Office Realty Trust, Inc., Office",01,,0.9485,20
"Invitation Homes, Residential",01,,0.9481,20
,01,Specialty,0.9917,20
"Regency Centers Corporation, Retail",01,,0.923,20
"Hersha Hospitality Trust, Lodging/Resorts",01,,0.9148,20
"Taubman Centers, Inc., Retail",01,,0.9231,20
,01,,0.9628,20
"Ashford Hospitality Trust, Lodging/Resorts",01,,0.9311,20
